"Advocate Information","Advocate Information"
"Advocate Spent Discount On Order","Advocate Spent Discount On Order"
"Summary","Summary"
"Name","Name"
"Invited Friends","Invited Friends"
"Current Rewards","Current Rewards"
"Transactions History","Transactions History"
"ID","ID"
"Date","Date"
"Action","Action"
"Amount","Amount"
"Comment for Admin","Comment for Admin"
"Rewards Balance","Rewards Balance"
"This advocate doesn't exist.","This advocate doesn't exist."
"Send ""Reward Expires Soon"" Email in X Days","Send ""Reward Expires Soon"" Email in X Days"
"Days before reward expires. Set to 0 to disable.","Days before reward expires. Set to 0 to disable."
"Ready to be Sent","Ready to be Sent"
"Sent","Sent"
"Failed","Failed"
"Enter a negative number to subtract from the customer's balance","Enter a negative number to subtract from the customer's balance"
"Admin comment","Admin comment"
"Visible to admin only","Visible to admin only"
"You created transaction.","You created transaction."
"Add transaction","Add transaction"
"You created transaction.","You created transaction."
"Something went wrong while creating transaction.","Something went wrong while creating transaction."
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discount amount is applied to subtotal only. This option applies to both parties.","Discount amount is applied to subtotal only. This option applies to both parties."
"Discount amount is applied to subtotal and shipping amount. This option applies to both parties.","Discount amount is applied to subtotal and shipping amount. This option applies to both parties."
"Return Referral Discount Back to The Advocate Balance","Return Referral Discount Back to The Advocate Balance"
"Maximum Referral amount allowed to refund is: %1","Maximum Referral amount allowed to refund is: %1"
"Refund to Referral Account","Refund to Referral Account"
"Refund referral discount from canceled order %order_id","Refund referral discount from canceled order %order_id"
"Refund Discount to Advocate for Canceled Order","Refund Discount to Advocate for Canceled Order"
"Refund referral discount from credit memo %creditmemo_id, order %order_id","Refund referral discount from credit memo %creditmemo_id, order %order_id"
"Refund Discount to Advocate for Credit Memo","Refund Discount to Advocate for Credit Memo"
"Quantity of Orders Made by Friends","Quantity of Orders Made by Friends"
"Total Amount Made by Friends","Total Amount Made by Friends"
"Refund to Referral Account","Refund to Referral Account"
"Maximum Referral amount allowed to refund is: %1","Maximum Referral amount allowed to refund is: %1"
"Refund to Referral Account","Refund to Referral Account"
"Refund referral discount from canceled order %order_id","Refund referral discount from canceled order %order_id"
"Refund Discount to Advocate for Canceled Order","Refund Discount to Advocate for Canceled Order"
"Refund referral discount from credit memo %creditmemo_id, order %order_id","Refund referral discount from credit memo %creditmemo_id, order %order_id"
"Refund Discount to Advocate for Credit Memo","Refund Discount to Advocate for Credit Memo"
"Register and get %friend_reward on your first purchase on %store_name!","Register and get %friend_reward on your first purchase on %store_name!"
"Click here to get %friend_reward on your first purchase on %store_name!","Click here to get %friend_reward on your first purchase on %store_name!"
"Invite friends using the buttons below:","Invite friends using the buttons below:"
"Referral Program Performance (Last 30 days)","Referral Program Performance (Last 30 days)"
"Applies to advocates only. Catalog and shopping cart price rules are applied before the discount. If enabled in the rule settings, the rest of the rewards can cover shipping price up to 100%.","Applies to advocates only. Catalog and shopping cart price rules are applied before the discount. If enabled in the rule settings, the rest of the rewards can cover shipping price up to 100%."
"Or just copy & paste this link anywhere you want!","Or just copy & paste this link anywhere you want!"
"Sandbox Mode","Sandbox Mode"
"In Sandbox mode, the extension allows placing multiple orders as a friend from the same IP address","In Sandbox mode, the extension allows placing multiple orders as a friend from the same IP address"
"Allow Applying Subsequent Discounts","Allow Applying Subsequent Discounts"
"Additional discount cannot be applied with referral discount","Additional discount cannot be applied with referral discount"
"Current Percent Balance","Current Percent Balance"
"Rewards Balance (Percent)","Rewards Balance (Percent)"
"No active rule found for this advocate","No active rule found for this advocate"
"Holding period","Holding period"
"Pending","Pending"
"Complete","Complete"
"Canceled","Canceled"
"Holding Period Expiration","Holding Period Expiration"
"Status","Status"
